UID        PID  PPID  C STIME TTY          TIME CMD
root      7751  1061  0 11:36 ?        00:00:00 sshd: jeh0289 [priv]
root      7763  1061  0 11:36 ?        00:00:00 sshd: jeh0289 [priv]
jeh0289   7812  7751  0 11:36 ?        00:00:00 sshd: jeh0289@pts/33
jeh0289   7829  7812  0 11:36 pts/33   00:00:00 -bash
jeh0289   7902  7763  0 11:36 ?        00:00:00 sshd: jeh0289@notty
jeh0289   7908  7902  0 11:36 ?        00:00:00 /usr/lib/openssh/sftp-server
root      8163     2  0 11:37 ?        00:00:00 [kworker/0:2]
ems0237   8213 29970  0 11:38 pts/25   00:00:00 vi ms.c
root      8234   713  0 Nov10 ?        00:00:00 /usr/sbin/CRON -f
root      8246     2  0 11:38 ?        00:00:00 [kworker/u6:0]
root      8282   713  0 11:39 ?        00:00:00 /usr/sbin/CRON -f
root      8283  8282  0 11:39 ?        00:00:00 /usr/sbin/CRON -f
root      8300   713  0 Nov13 ?        00:00:00 /usr/sbin/CRON -f
root      8301  8300  0 Nov13 ?        00:00:00 /usr/sbin/CRON -f
root      8344  8234  0 Nov10 ?        00:00:00 /usr/sbin/CRON -f
root      8365     2  0 11:39 ?        00:00:00 [kworker/1:2]
mlm0694   8371  5463  0 11:39 pts/21   00:00:00 vim goatmain.cpp
rlb0421   8412 31274  0 11:40 pts/4    00:00:00 vi minor4.c
root      8426  1061  0 11:41 ?        00:00:00 sshd: rlb0421 [priv]
root      8475   713  0 Nov11 ?        00:00:00 /usr/sbin/CRON -f
root      8477  8475  0 Nov11 ?        00:00:00 /usr/sbin/CRON -f
rlb0421   8490  8426  0 11:41 ?        00:00:00 sshd: rlb0421@pts/34
rlb0421   8491  8490  0 11:41 pts/34   00:00:00 -bash
root      8498  1061  0 Oct22 ?        00:00:03 sshd: cr0582 [priv]
cr0582    8574  8498  0 Oct22 ?        00:00:04 sshd: cr0582@notty
cr0582    8575  8574  0 Oct22 ?        00:00:00 /usr/lib/openssh/sftp-server
nsg0055   8590  3214  0 11:42 pts/19   00:00:00 vi snakemain.cpp
root      8595     2  0 11:42 ?        00:00:00 [kworker/2:2]
root      8609     2  0 11:42 ?        00:00:00 [kworker/0:0]
mcs0288   8635  5355  0 11:43 pts/18   00:00:00 vi main.cpp
nbj0014   8639  4942  0 11:43 pts/0    00:00:00 vim animal.cpp
djm0265   8640  7315  0 11:43 pts/10   00:00:00 ps -ef
root      8818   713  0 Nov10 ?        00:00:00 /usr/sbin/CRON -f
root      8865  8818  0 Nov10 ?        00:00:00 /usr/sbin/CRON -f
root      8937   713  0 Nov13 ?        00:00:00 /usr/sbin/CRON -f
root      8940  8937  0 Nov13 ?        00:00:00 /usr/sbin/CRON -f
root      9017   713  0 Nov14 ?        00:00:00 /usr/sbin/CRON -f
root      9018  9017  0 Nov14 ?        00:00:00 /usr/sbin/CRON -f
